,0,1,2,3,4,5,6,7,8
116,True Grit,(2010),PG-13,110 min,"
Adventure, Drama, Western            ","267,553",$171.24M,7.6,80        
117,The Help,(2011),PG-13,146 min,"
Drama            ","369,052",$169.71M,8.1,62        
118,Hotel Transylvania 2,(2015),PG,89 min,"
Animation, Comedy, Family            ","78,623",$169.70M,6.7,44        
119,Hidden Figures,(2016),PG,127 min,"
Biography, Drama, History            ","148,068",$169.39M,7.8,74        
120,Bridesmaids,(I) (2011),R,125 min,"
Comedy, Romance            ","238,750",$169.11M,6.8,75        
121,Kong: Skull Island,(2017),PG-13,118 min,"
Action, Adventure, Fantasy            ","203,455",$168.05M,6.7,62        
122,Gone Girl,(2014),R,149 min,"
Crime, Drama, Mystery            ","699,879",$167.77M,8.1,79        
123,Fifty Shades of Grey,(2015),R,125 min,"
Drama, Romance, Thriller            ","262,948",$166.17M,4.1,46        
124,Kung Fu Panda 2,(2011),PG,90 min,"
Animation, Action, Adventure            ","211,105",$165.25M,7.3,67        
125,Clash of the Titans,(2010),PG-13,106 min,"
Action, Adventure, Fantasy            ","246,877",$163.21M,5.8,39        
126,The SpongeBob Movie: Sponge Out of Water,(2015),PG,92 min,"
Animation, Adventure, Comedy            ","40,325",$162.99M,6.0,62        
127,Django Unchained,(2012),R,165 min,"
Drama, Western            ","1,124,101",$162.81M,8.4,81        
128,Jason Bourne,(2016),PG-13,123 min,"
Action, Thriller            ","174,443",$162.43M,6.6,58        
129,Grown Ups,(I) (2010),PG-13,102 min,"
Comedy            ","199,977",$162.00M,6.0,30        
130,Ice Age: Continental Drift,(2012),PG,88 min,"
Animation, Adventure, Comedy            ","163,815",$161.32M,6.6,49        
131,Straight Outta Compton,(2015),R,147 min,"
Biography, Drama, History            ","154,981",$161.20M,7.9,72        
132,The Heat,(I) (2013),R,117 min,"
Action, Comedy, Crime            ","146,310",$159.58M,6.6,60        
133,Star Trek: Beyond,(2016),PG-13,122 min,"
Action, Adventure, Sci-Fi            ","193,177",$158.85M,7.1,68        
134,X-Men: Apocalypse,(2016),PG-13,144 min,"
Action, Adventure, Sci-Fi            ","317,246",$155.44M,7.0,52        
135,Snow White and the Huntsman,(2012),PG-13,127 min,"
Action, Adventure, Drama            ","248,874",$155.33M,6.1,57        
136,San Andreas,(2015),PG-13,114 min,"
Action, Adventure, Drama            ","175,220",$155.19M,6.1,43        
137,Trolls,(2016),PG,92 min,"
Animation, Adventure, Comedy            ","56,366",$153.71M,6.5,56        
138,Mad Max: Fury Road,(2015),R,120 min,"
Action, Adventure, Sci-Fi            ","709,421",$153.64M,8.1,90        
139,Cars 3,(2017),G,102 min,"
Animation, Adventure, Comedy            ","44,310",$152.90M,6.8,59        
