status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
660933270687803_1333505146763942,"Joe Corroney does fantastic artwork.
#the_kiwi_jedi",Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1333505146763942/?type=3,2017-06-25 06:21:53,404,12,53,291,58,5,0,50,0
660933270687803_1332475730200217,#the_kiwi_jedi,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1332475730200217/?type=3,2017-06-24 04:45:05,124,1,101,103,3,0,18,0,0
660933270687803_1331884796925977,,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1331884796925977/?type=3,2017-06-23 12:08:14,154,5,23,99,6,0,49,0,0
660933270687803_1331235693657554,,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1331235693657554/?type=3,2017-06-22 18:07:41,112,7,7,89,0,0,18,5,0
660933270687803_1330741653706958,#the_kiwi_jedi,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1330741653706958/?type=3,2017-06-22 05:46:15,111,4,18,86,3,2,20,0,0
660933270687803_1329999993781124,,LEGO,link,http://gph.is/2pYQQJF,2017-06-21 10:33:22,28,2,0,23,0,0,5,0,0
660933270687803_1329903397124117,,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1329903397124117/?type=3,2017-06-21 08:27:46,285,6,28,231,26,26,0,0,2
660933270687803_1329040663877057,,Sci-Fi and Beyond,video,https://www.facebook.com/AllthingsSciFiandMore/videos/426904587674898/,2017-06-20 10:02:36,58,1,0,57,0,1,0,0,0
660933270687803_1328968433884280,Hello there,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1328968433884280/?type=3,2017-06-20 08:42:07,161,4,11,127,11,8,14,0,1
660933270687803_1328832007231256,#the_kiwi_jedi,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1328832007231256/?type=3,2017-06-20 05:55:35,178,6,32,152,15,4,6,0,0
660933270687803_1327355204045603,#the_kiwi_jedi,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1327355204045603/?type=3,2017-06-18 17:24:34,273,11,25,217,38,18,0,0,0
660933270687803_1326367657477691,#the_kiwi_jedi,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1326367657477691/?type=3,2017-06-17 19:22:07,349,7,47,272,15,2,59,0,0
660933270687803_1325412640906526,,Super News TV,video,https://www.facebook.com/supernewstelevision/videos/1533141000057663/,2017-06-16 19:24:16,140,8,1,125,6,6,0,0,2
660933270687803_1324306811017109,#the_kiwi_jedi,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1324306811017109/?type=3,2017-06-15 15:45:41,90,6,5,61,1,1,24,3,0
660933270687803_1322434504537673,Watching the battlefront 2 trailer like,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1322434504537673/?type=3,2017-06-13 20:04:00,54,2,7,43,2,1,8,0,0
660933270687803_1321580044623119,#the_kiwi_jedi,Star Wars The Last Jedi,photo,https://www.facebook.com/SWTLJ/photos/a.1434469386613792.1073741833.1332320606828671/1450363385024392/?type=3,2017-06-13 00:33:46,84,5,0,76,5,3,0,0,0
660933270687803_1321435541304236,#the_kiwi_jedi,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1321435541304236/?type=3,2017-06-12 20:49:40,199,11,77,132,9,1,57,0,0
660933270687803_1320478174733306,#the_kiwi_jedi,Star Wars The Last Jedi,photo,https://www.facebook.com/SWTLJ/photos/a.1434469386613792.1073741833.1332320606828671/1449409865119744/?type=3,2017-06-11 20:18:20,68,3,0,59,8,1,0,0,0
660933270687803_1319524894828634,#the_kiwi_jedi,Star Wars The Last Jedi,photo,https://www.facebook.com/SWTLJ/photos/a.1434469386613792.1073741833.1332320606828671/1448248055235925/?type=3,2017-06-10 21:18:56,133,2,0,119,12,2,0,0,0
660933270687803_1319285111519279,#the_kiwi_jedi,Star Wars,video,https://www.facebook.com/StarWars/videos/1408847365868569/,2017-06-10 15:45:29,204,9,0,161,29,12,0,0,0
660933270687803_1319070518207405,(((SPOILERS) )),Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1319070518207405/?type=3,2017-06-10 11:03:31,211,5,144,170,6,3,32,0,0
660933270687803_1318191774961946,,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1318191774961946/?type=3,2017-06-09 14:15:46,144,4,17,133,8,0,0,3,0
660933270687803_1317590651688725,"Well since they were pretty much throwing it away I may as well take it home
#the_kiwi_jedi",Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1317590651688725/?type=3,2017-06-09 02:42:48,42,6,0,37,2,2,1,0,0
660933270687803_1317131901734600,,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1317131901734600/?type=3,2017-06-08 17:19:02,319,28,95,252,19,1,47,0,0
660933270687803_1316744175106706,"Luke meets Rey, he tells her how the force brought her to him. Her parents were scared of her abilities. She is told after a couple scenes that she was born out of necessity, that this balance will continue forever with the force, since the beginning all the way to his dad and now her. Luke trains her but tells her after Snoke is defeated, they will cease to fight and will not continue the Jedi order.

Luke and Rey have a meditation scene together where she literally walks through a beam of light and she can control everything around her. She can change shapes and warp everything around her. Luke tells her she will be even more powerful than Yoda, and she says who? (this got some chuckles).

Rey also battles a creature that Luke claims is filled with evil intent and has been threatening the porgs, creatures more in tune with the force than even himself (think penguins on crack). She defeats this creature only to see it become a ghost of Anakin. Basically, Luke has tried to push her emotionally in every direction on the island in order to wake her full potential quickly.

Luke wants Snoke gone now. It's made clear that Luke is not happy with what Snoke did to Ben/Kylo Ren and will do anything to make Rey become stronger quickly to destroy him. We get a flashback with Anakin at Luke's school and everything is destroyed. Luke sees young Ben/Kylo Ren and says ""I don't want to kill you…but your life is in my hands now"". We learn later Luke knew someone else would come along to balance things out with Ben/Kylo so he left to get answers as to why the Jedi always fail. Luke used the force to shut R2 down until this person was found. I'm cutting out a ton of details but basically you find out the force is literally connected to everything and even something like a droid can be aligned to it if it is willed. Rey confronts Luke about his feelings towards the Jedi, his abandonment of his friends and everything that's happened, and they don't come to an agreement. He speaks with Yoda, she meditates.

Yoda admits Rey is right, that the Jedi of old were hopeful but arrogant and a the dark side of the force can't be the only future (something like that). 

Kylo Ren spends the majority of the film with Snoke. Kylo is more unstable and leaves to trace Vader's life in hopes that he will meet his spirit. From the way Snoke acts, he doesn't seem to care much. Also, force ghosts can be destroyed. They're adding new powers into this film the same way J.J./Kasdan added new abilities in Star Wars: The Force Awakens. Rian Johnson did write the film he wanted but there was definitely things they wanted included in this film for future media. 

After Finn wakes up, the entire ship they're on is destroyed. Leia asks him to go find Snoke's weakness, she's been told someone has information on how to destroy him, and they've arrived at the meeting point (a new planet). No one likes Leia on this planet. Rose leaves with Finn because it's the last escape pod and her sister trusts Finn. Poe leaves after the ship is destroyed as well with Leia and some remaining resistance. The FO take prisoners. They spend most of the film on the run and meet up with Holdo who immediately butts heads with what they should do next. She wants to have an alliance with the FO, Leia thinks thats a bad idea and in the meantime, sends Poe to rescue the remaining resistance supporters.

Finn goes to Snoke's home planet and finds a crypt. Think Dracula. Very expensive looking place and a tomb that's opened. Basically, we learn Snoke has switched bodies and is actually well liked by a lot of races. No one alive has seen his original body. He's with Rose and Zenn. All of this takes place after they escaped the ""affluent planet"" and found the kidnapped resistance members who after these past few years have decided to join the FO. Finn appeals to some of them but not all.",Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1316744175106706/?type=3,2017-06-08 10:50:32,97,14,22,86,4,7,0,0,0
660933270687803_1315244051923385,#the_kiwi_jedi,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1315244051923385/?type=3,2017-06-07 05:06:20,143,4,22,92,0,4,47,0,0
660933270687803_1313913858723071,#the_kiwi_jedi,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1313913858723071/?type=3,2017-06-06 03:57:00,210,8,31,157,26,2,11,14,0
660933270687803_1312135785567545,#the_kiwi_jedi,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1312135785567545/?type=3,2017-06-04 16:50:21,227,14,111,175,5,0,47,0,0
660933270687803_1310254632422327,,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1310254632422327/?type=3,2017-06-02 21:57:25,143,2,16,126,11,6,0,0,0
660933270687803_1309761412471649,,Mile Hi SITH academy,photo,https://www.facebook.com/milehisithacademy/photos/a.615762378438378.1073741825.615747148439901/1760887507259187/?type=3,2017-06-02 09:56:41,75,4,0,50,0,0,25,0,0
660933270687803_1309419189172538,#the_kiwi_jedi,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1309419189172538/?type=3,2017-06-02 01:58:32,193,7,68,129,6,2,56,0,0
660933270687803_1309111762536614,#the_kiwi_jedi,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1309111762536614/?type=3,2017-06-01 16:41:26,328,8,50,211,7,0,110,0,0
660933270687803_1308670489247408,#the_kiwi_jedi,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1308670489247408/?type=3,2017-06-01 06:22:41,300,18,50,211,9,0,80,0,0
660933270687803_1307666476014476,#the_kiwi_jedi,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1307666476014476/?type=3,2017-05-31 03:35:08,87,1,9,77,10,0,0,0,0
660933270687803_1307314602716330,,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1307314602716330/?type=3,2017-05-30 17:27:07,77,2,6,42,0,2,33,0,0
660933270687803_1306795662768224,#the_kiwi_jedi,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1306795662768224/?type=3,2017-05-30 04:47:32,202,6,12,175,17,10,0,0,0
660933270687803_1306719672775823,#the_kiwi_jedi,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1306719672775823/?type=3,2017-05-30 02:34:23,54,0,2,46,8,0,0,0,0
660933270687803_1305796026201521,#the_kiwi_jedi,Drawing the Soul,video,https://www.facebook.com/drawingthesoul/videos/1769832629708693/,2017-05-29 02:46:57,493,16,0,365,66,59,3,0,0
660933270687803_1305602356220888,#the_kiwi_jedi,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1305602356220888/?type=3,2017-05-28 21:35:42,107,5,7,55,2,1,49,0,0
660933270687803_1304664439648013,#the_kiwi_jedi,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1304664439648013/?type=3,2017-05-27 19:25:50,40,4,0,33,4,2,1,0,0
660933270687803_1303704333077357,#the_kiwi_jedi,Star Wars The Last Jedi,photo,https://www.facebook.com/SWTLJ/photos/a.1374113095982755.1073741832.1332320606828671/1432681116792619/?type=3,2017-05-26 18:43:39,125,16,0,117,1,7,0,0,0
660933270687803_1303148273132963,"The ""shifty"" DJ 
#the_kiwi_jedi",Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1303148273132963/?type=3,2017-05-26 05:58:21,58,11,0,54,0,4,0,0,0
660933270687803_1302923703155420,,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1302923703155420/?type=3,2017-05-25 22:45:34,120,3,31,77,0,2,41,0,0
660933270687803_1302674593180331,#the_kiwi_jedi,Timeline Photos,photo,https://www.facebook.com/660933270687803/photos/a.662087713905692.1073741829.660933270687803/1302674593180331/?type=3,2017-05-25 15:30:35,321,11,75,268,48,5,0,0,0
660933270687803_1302200946561029,#the_kiwi_jedi,Star Wars - The Hobby,photo,https://www.facebook.com/starwarsthehobby/photos/a.867192936639215.1073741827.867094103315765/1674529315905569/?type=3,2017-05-25 04:26:17,79,2,0,66,12,1,0,0,0
